latitude,longitude,date,fire_occurred,temperature,humidity,wind_speed,rain_7d_sum,rain_30d_sum,temp_7d_avg,temp_30d_max,ndvi,rgb_image,ndvi_image
-9.26583,124.42258,2023-09-16,1,32.0,30,15.0,0.5,2.4000000000000004,32.75714285714285,33.9,0.2929072678089142,2023-09-16_-926583_12442258_rgb.png,2023-09-16_-926583_12442258_ndvi.png
-8.85061,125.7969,2023-10-19,1,27.9,32,14.2,1.5,6.199999999999999,26.757142857142856,29.5,0.39171746373176575,2023-10-19_-885061_1257969_rgb.png,2023-10-19_-885061_1257969_ndvi.png
18.39248,102.15316,2023-03-11,1,32.5,46,4.1,0.0,1.4000000000000001,32.214285714285715,35.5,0.3888107240200043,2023-03-11_1839248_10215316_rgb.png,2023-03-11_1839248_10215316_ndvi.png
-8.85061,125.7969,2023-04-22,0,22.5,74,12.7,59.99999999999999,140.30000000000004,23.214285714285715,26.1,0.08579537272453308,2023-04-22_-885061_1257969_rgb.png,2023-04-22_-885061_1257969_ndvi.png
18.60492,104.98239,2022-09-18,0,26.4,70,2.3,37.2,263.09999999999997,25.414285714285715,28.5,0.1463441550731659,2022-09-18_1860492_10498239_rgb.png,2022-09-18_1860492_10498239_ndvi.png
-9.09465,125.227,2023-11-05,1,26.1,26,6.9,7.2,9.100000000000001,25.04285714285714,26.4,0.34672120213508606,2023-11-05_-909465_125227_rgb.png,2023-11-05_-909465_125227_ndvi.png
19.84288,100.89651,2023-04-05,1,28.2,28,8.6,0.1,27.7,29.0,29.8,0.2592942416667938,2023-04-05_1984288_10089651_rgb.png,2023-04-05_1984288_10089651_ndvi.png
-8.93946,125.28874,2023-03-24,0,25.7,83,2.9,67.2,324.70000000000005,26.014285714285712,27.2,0.41146883368492126,2023-03-24_-893946_12528874_rgb.png,2023-03-24_-893946_12528874_ndvi.png
20.23228,102.02412,2023-04-03,1,29.0,32,14.2,0.2,36.800000000000004,30.257142857142856,31.5,0.3001958727836609,2023-04-03_2023228_10202412_rgb.png,2023-04-03_2023228_10202412_ndvi.png
-8.54664,126.96856,2023-10-29,1,29.1,54,15.2,0.6000000000000001,10.5,30.25714285714286,32.3,0.36376816034317017,2023-10-29_-854664_12696856_rgb.png,2023-10-29_-854664_12696856_ndvi.png
-9.38943,124.22372,2023-10-07,1,32.7,34,24.2,2.9,4.8,32.97142857142857,33.9,0.220588818192482,2023-10-07_-938943_12422372_rgb.png,2023-10-07_-938943_12422372_ndvi.png
-8.46744,127.08227,2023-03-11,0,29.2,59,3.4,24.9,190.2,29.11428571428571,29.8,0.29410943388938904,2023-03-11_-846744_12708227_rgb.png,2023-03-11_-846744_12708227_ndvi.png
-8.96485,125.45586,2023-05-13,0,13.7,66,9.9,39.8,149.29999999999998,14.285714285714286,17.4,0.058980539441108704,2023-05-13_-896485_12545586_rgb.png,2023-05-13_-896485_12545586_ndvi.png
20.33607,102.1508,2023-03-25,1,31.2,29,10.3,1.2999999999999998,18.7,29.928571428571427,32.5,0.4268589913845062,2023-03-25_2033607_1021508_rgb.png,2023-03-25_2033607_1021508_ndvi.png
-8.96485,125.45586,2023-11-09,1,21.3,25,13.3,3.3,6.4,20.614285714285717,21.4,0.2782990336418152,2023-11-09_-896485_12545586_rgb.png,2023-11-09_-896485_12545586_ndvi.png
20.66344,103.25137,2022-10-24,0,26.0,52,10.9,1.7000000000000002,44.30000000000002,25.185714285714283,27.7,0.5517210364341736,2022-10-24_2066344_10325137_rgb.png,2022-10-24_2066344_10325137_ndvi.png
17.54435,105.32732,2023-03-01,1,26.1,53,18.2,0.0,34.699999999999996,26.071428571428566,33.0,0.22939801216125488,2023-03-01_1754435_10532732_rgb.png,2023-03-01_1754435_10532732_ndvi.png
